a,h,e,angle
2.9,11.0,1.5,-135.173457917525
6.6,15.1,1.9,63.87723567413416
5.0,16.3,2.4,-1.3274605136003554
11.6,13.1,2.6,30.43415163072748
7.0,18.6,2.2,-91.182774537516
13.0,13.8,1.9,62.02752303969644
4.1,12.8,1.7,157.42962134670975
5.1,9.2,1.7,-97.9702972697608
3.7,13.6,2.5,94.09074096627651
3.6,7.6,2.7,-71.6835370214131
12.5,9.4,1.8,-150.4152527077857
8.9,9.1,1.5,-99.94225173396212
8.6,3.5,2.1,76.81580617783978
3.7,12.9,2.1,135.333796277801
12.3,11.3,1.7,165.80807967089564
9.4,20.0,2.7,147.0787342285798
6.1,4.8,2.7,25.10785452508165
8.0,16.5,1.6,36.53205018422994
6.6,18.7,2.6,-125.43738688703748
2.8,11.5,2.7,157.37203342064024
4.8,6.5,2.5,-31.383027012714116
3.4,13.9,2.2,101.12930145120863
4.1,18.6,2.3,-64.02009179697792
4.8,8.0,1.9,-65.79568163136916
6.9,2.4,2.0,114.13769650050637
2.5,4.5,2.4,51.83575842137617
12.9,12.9,2.2,66.26701970586447
13.4,12.9,2.5,18.629130610183136
7.8,8.1,2.6,-121.05123592165778
7.7,18.9,2.6,-147.91699784108133
5.9,9.7,1.3,-94.79878239566806
12.9,7.8,2.0,-118.93382365826297
6.2,19.6,2.0,-94.8827355888757
3.3,6.5,1.4,0.6246783854448059
11.4,9.2,1.8,-137.94112398378314
6.5,4.0,1.8,66.43954912871732
4.8,13.1,2.1,123.87628960056736
6.7,11.6,1.9,170.5696514448536
3.1,7.6,2.3,-55.82181563566395
3.5,15.5,2.4,39.12858262876789
13.4,7.8,2.4,-147.3780135907405
13.5,13.8,2.3,-6.117575595490543
8.8,19.1,2.6,-169.19170739746474
2.6,14.2,1.5,132.9684190961763
4.7,15.1,2.7,25.144318920942556
6.1,7.8,1.5,-48.35830296074612
11.9,8.5,1.8,-119.72811723658918
2.1,9.8,1.4,-93.75043640694204
2.4,8.8,1.3,-62.03716424211375
3.9,19.8,1.7,-52.13083703923116
9.8,3.9,1.3,72.54812152478056
10.8,12.7,1.5,149.81835503223508
9.7,19.0,2.5,-169.28551618371506
7.3,17.6,2.1,-49.47470665736732
8.5,15.0,2.5,-2.5869678105449205
5.4,19.1,2.3,-96.57012170303312
11.0,4.9,2.5,-4.846373585043468
4.2,10.7,2.6,178.75729712750191
10.3,6.8,2.0,-61.20941109674425
4.1,16.4,2.4,4.078263600808044
6.2,15.9,2.7,-23.890906295671623
9.5,11.4,2.5,129.4409330166979
11.4,8.5,1.4,-83.6827713201212
2.8,18.1,2.3,-34.47510843379749
13.2,12.6,2.5,40.80961793140855
11.4,2.6,2.3,103.30521459010114
7.7,12.4,1.5,168.91012050351884
7.1,14.4,1.8,91.03752692523366
7.3,8.1,2.2,-98.2682779875374
5.5,17.1,1.7,22.14892520644805
8.0,8.4,2.6,-132.90267497106925
8.0,12.1,1.9,149.74242530278514
11.8,17.8,2.4,-153.10599662574398
11.6,2.9,2.3,91.9128510403984
9.7,8.8,2.2,-138.8927998822288
6.3,17.6,1.4,31.22541944441048
11.8,4.0,1.3,68.15809291549633
8.3,15.5,1.5,77.00495106072354
