a,h,e,angle
13.5,8.7,2.25,40.99232286414618
13.7,18.5,2.25,53.84301288364252
2.7,9.9,2.72,65.4183747958813
7.5,10.6,2.25,31.357414234642125
6.0,17.1,2.25,-148.3746367113444
3.5,11.9,1.24,63.16844672417496
3.5,16.2,2.72,-129.02348034791655
12.0,15.2,2.25,-142.95590882992457
8.4,14.1,2.72,-100.21098457486792
13.5,2.1,2.72,-55.25294099638424
13.9,17.3,2.72,36.64138441488772
7.1,19.5,2.25,121.10063842284134
6.6,18.0,2.53,153.39434484276418
4.7,11.5,2.25,22.23008955631089
7.6,10.0,2.53,35.33236133372316
5.2,13.0,1.24,32.54866865002694
7.8,2.3,2.25,-57.006706917847865
7.4,6.8,2.25,156.8197520582494
5.1,15.7,2.72,-126.11637397593624
3.5,7.5,2.25,153.8297478465991
7.3,3.0,2.25,-76.1346063138007
8.2,13.1,2.53,-57.09395182781922
6.1,12.1,2.72,-23.97754643266471
10.6,10.2,1.24,92.89916704880824
7.5,17.2,1.24,-77.64971051917985
7.4,19.9,2.72,62.194993243434425
11.8,16.4,1.24,-66.2306842634946
12.1,14.6,2.53,-148.84890273632928
11.3,6.1,2.53,144.46250194411917
11.7,19.1,2.53,34.61046537160132
8.1,18.1,1.24,-102.80870301447062
8.9,13.4,2.72,-80.78423453102907
9.9,14.2,2.53,-105.7760959449194
3.1,12.0,2.25,16.216300466006228
4.9,14.7,2.53,-83.49342589657132
9.7,6.6,2.53,136.65893942615065
5.8,11.7,2.25,10.485631999272073
11.5,2.8,1.24,-68.66154291417011
5.2,15.2,1.24,-22.650447787948156
2.4,9.5,2.25,96.2500775238051
5.7,3.5,2.53,-90.22867827588335
8.9,17.8,2.53,128.8051326732466
13.8,9.2,1.24,110.37433439512375
10.6,14.5,2.72,-140.43620893168236
10.9,10.6,2.53,-2.9743245955633744
9.0,15.1,1.24,-27.70606982587633
8.5,15.8,1.24,-44.33901606553308
12.7,17.7,2.53,65.40864937326064
7.0,4.7,2.72,-134.07787981327618
7.7,13.8,2.53,-74.44788513813685
4.5,17.0,2.53,-151.2815375466652
11.3,14.9,1.24,-27.2538151114714
8.8,9.6,2.72,30.041203218618342
6.5,5.4,2.72,-158.31523681261828
10.7,9.6,2.25,38.910621154917365
3.2,7.0,2.72,161.55001128252317
2.0,11.8,2.25,27.76997262199951
9.5,5.6,2.25,-169.67862791962548
10.2,19.1,1.24,-134.33188190769718
9.3,8.9,2.72,47.79167713928341
13.1,17.6,2.25,89.7640906414751
10.0,11.4,2.72,-27.281706594888853
8.4,18.5,2.72,91.1946394208603
5.1,13.5,2.72,-58.47458759917749
2.5,8.9,2.25,114.3125205733832
11.1,2.9,2.25,-76.09310096705751
4.0,4.6,2.25,-118.08280102253904
5.4,7.4,2.72,132.16173451790803
5.1,11.4,1.24,73.28946217722078
8.8,11.8,2.72,-31.351901241293387
8.7,5.8,2.72,171.1299530265966
11.7,16.9,2.72,87.88883826370815
12.7,6.8,1.24,-178.41238566458793
11.7,14.7,2.72,-169.66362475267383
13.8,11.3,2.72,-55.251927640758176
4.2,5.6,2.53,-151.95955440432562
13.3,16.4,2.72,72.9955897649805
2.5,2.3,2.72,-56.24366128450838
4.9,8.1,2.72,110.65151034657949
2.1,2.5,1.24,-60.565261300153566
10.5,8.6,1.24,136.05127209716065
13.1,2.3,1.24,-56.46057908785173
9.2,11.7,2.53,-22.29084822103878
3.8,14.5,2.53,-71.59217449025608
8.2,4.4,1.24,-108.2360800636238
9.2,2.9,2.72,-76.84088298398157
4.3,11.6,2.53,9.557045790914405
6.1,9.9,2.72,40.510017805242505
10.9,6.2,2.72,135.16989175135643
8.9,6.9,1.24,-174.80556629934213
3.7,8.5,2.53,111.8974772120102
6.8,10.3,1.24,98.43077367804572
7.0,13.5,2.25,-46.50291112107077
9.2,18.3,1.24,-110.17930197212056
2.2,6.3,1.24,-153.84683246782782
9.3,2.4,1.24,-57.86655182517677
13.4,2.7,2.53,-74.15249550231268
3.2,4.8,2.72,-125.78620701725902
11.1,5.1,2.25,-157.47792513719313
13.8,17.9,2.53,39.17780755211052
9.6,16.0,1.24,-51.32899859319552
10.9,19.4,2.25,72.64636188988545
5.8,2.9,2.53,-73.20809503173838
7.7,18.2,2.53,131.25834144426392
2.5,4.5,2.53,-114.8302627733401
6.9,11.9,2.25,-1.2983585443052912
6.5,16.4,2.25,-130.00966009269354
5.5,6.9,1.24,-170.59431490306292
12.1,16.8,2.53,107.17622508503597
7.6,18.8,2.25,136.6080757202874
12.0,19.6,2.25,48.119388876643136
11.8,7.6,2.25,94.05448507491334
5.4,18.4,2.25,175.61681857162077
2.7,14.3,2.53,-59.8732007341613
2.5,15.5,1.24,-26.2374649546838
10.0,15.8,2.72,170.2588678318188
7.3,13.9,2.72,-84.84392200455146
13.1,8.8,2.53,29.956508780362235
7.2,18.9,2.53,114.2814079486644
3.8,12.3,2.53,-8.190232351275368
8.6,13.0,2.25,-41.15033462457523
13.4,9.3,2.25,24.70387662312333
10.3,9.7,2.53,25.054858296007776
7.0,9.1,2.53,67.36978859232568
5.1,9.2,1.24,130.20954996991853
12.4,12.9,2.25,-60.7737478786047
13.5,6.5,2.53,100.95416544362408
6.7,17.4,2.53,173.00960154457718
2.7,7.7,2.72,140.40870891910794
4.2,7.8,2.53,132.30624254046893
9.2,16.1,2.25,-143.47861921855778
4.3,2.9,1.24,-69.86658995855161
5.5,20.0,2.25,123.7511242027283
7.8,11.1,1.24,75.8844108818557
6.4,6.0,2.53,-175.9708837859402
6.0,8.3,2.72,94.43333058749133
7.8,4.5,2.25,-122.4617659464042
4.8,17.5,2.25,-151.73432247948045
2.2,19.4,2.25,170.51545856278483
10.2,16.9,1.24,-75.73571329066851
