row,col,phase
19.0,19.0,-497.3830953128481
19.0,20.0,-417.6929900378191
20.0,0.0,-339.59801025072466
20.0,1.0,-417.6929900378168
20.0,2.0,-488.9166023173043
20.0,3.0,-552.8790834378583
20.0,4.0,-609.2049369441061
20.0,5.0,-657.5418091123561
20.0,6.0,-697.5698764503413
20.0,7.0,-729.011278213201
20.0,8.0,-31.639031712179076
20.0,9.0,-45.28482153633149
20.0,10.0,-49.84507380311834
20.0,11.0,-45.28482153633149
20.0,12.0,-31.63903171218044
20.0,13.0,-729.011278213201
20.0,14.0,-697.5698764503422
20.0,15.0,-657.541809112357
20.0,16.0,-609.2049369441074
20.0,17.0,-552.8790834378588
20.0,18.0,-488.9166023173052
20.0,19.0,-417.6929900378191
20.0,20.0,-339.5980102507265
