a,h,e,phase
10.5,8.6,1.24,-223.94872790283935
7.5,8.4,2.53,-272.8538672784562
13.9,8.6,1.24,-232.02363930384075
6.7,8.7,1.24,-219.50609511085858
2.9,8.8,1.24,-216.51162514178813
13.5,8.7,2.25,-319.00767713585384
3.7,8.5,2.53,-248.1025227879898
11.0,7.8,2.72,-290.9708606349814
6.3,8.8,2.25,-265.4229958746218
11.6,8.8,1.24,-231.81569785405918
3.8,7.9,2.72,-233.81342183230203
7.8,8.9,1.24,-226.71731116950664
8.6,8.6,2.53,-288.5700788611612
4.0,9.0,1.24,-223.16566807419443
8.7,8.0,2.72,-277.57968345101847
12.1,8.0,2.72,-307.9493969616062
12.7,9.0,1.24,-240.8252753349351
8.9,9.1,1.24,-233.96311691890685
2.5,8.9,2.25,-245.6874794266168
11.2,8.9,2.25,-303.87391824728115
4.8,8.7,2.53,-262.63666918254796
4.9,8.1,2.72,-249.34848965342053
7.4,9.0,2.25,-279.49135898073854
9.7,8.8,2.53,-303.4961549084352
3.6,9.1,2.25,-258.174845547588
9.8,8.2,2.72,-293.8479247181432
13.2,8.2,2.72,-322.7130742161944
12.3,9.1,2.25,-318.5806367405355
8.5,9.2,2.25,-293.20324373410364
13.1,8.8,2.53,-330.04349121963776
4.7,9.3,2.25,-271.05568493022537
13.4,9.3,2.25,-335.29612337687666
6.0,8.3,2.72,-265.56666941250865
2.2,8.4,2.72,-240.26245192134434
5.1,9.2,1.24,-229.79045003008147
5.9,8.9,2.53,-277.64897681092407
10.9,8.4,2.72,-309.33817048852103
2.1,9.0,2.53,-254.5207651376358
10.8,9.0,2.53,-318.2969321450367
7.0,9.1,2.53,-292.6302114076743
9.6,9.4,2.25,-307.6125171785557
13.8,9.2,1.24,-249.62566560487625
7.1,8.5,2.72,-281.3337985093135
3.2,9.2,2.53,-268.1880778038335
3.3,8.6,2.72,-254.8411123791783
2.4,9.5,2.25,-263.7499224761949
11.9,9.2,2.53,-332.9016435561253
8.1,9.3,2.53,-307.1049189512131
5.8,9.5,2.25,-284.57154627216187
10.0,9.3,1.24,-241.58286648656912
6.2,9.4,1.24,-236.84321503855904
4.3,9.4,2.53,-282.21386076177157
11.1,9.5,1.24,-249.63858085939256
12.0,8.6,2.72,-325.35386063908095
8.2,8.7,2.72,-297.1398836192193
4.4,8.8,2.72,-269.8772238330041
13.0,9.4,2.53,-345.4292860753592
9.3,8.9,2.72,-312.2083228607166
5.5,9.0,2.72,-285.6695208818036
10.4,9.1,2.72,-326.59412646364706
7.3,9.6,1.24,-244.2317378726683
12.2,9.7,1.24,-258.6765637346781
6.6,9.2,2.72,-301.0000955468216
2.8,9.3,2.72,-274.92823396647714
11.5,9.3,2.72,-340.13868798421123
10.7,9.6,2.25,-321.08937884508265
9.2,9.5,2.53,-320.5700069507135
3.5,9.7,2.25,-276.4698385516702
2.0,9.6,2.53,-273.37865069005755
5.4,9.6,2.53,-296.80822961900367
6.9,9.7,2.25,-298.03429858800877
8.4,9.8,1.24,-251.58187869486017
10.3,9.7,2.53,-334.94514170399225
4.6,9.9,1.24,-246.99446651831477
13.3,9.9,1.24,-266.68558862033177
7.7,9.4,2.72,-315.6337056040096
11.8,9.8,2.25,-334.70619492432184
9.5,10.0,1.24,-259.3974037290277
8.0,9.9,2.25,-311.3304078540094
2.3,10.1,1.24,-248.97339081572488
5.7,10.1,1.24,-254.18503687951005
3.9,9.5,2.72,-289.6973966138713
3.1,9.8,2.53,-286.9635904968429
12.6,9.5,2.72,-353.69090089670306
6.5,9.8,2.53,-310.93325689493486
12.9,10.0,2.25,-346.6198689535366
11.4,9.9,2.53,-347.3963687392713
9.1,10.1,2.25,-324.7918392224856
8.8,9.6,2.72,-329.95879678138164
14.0,10.2,2.25,-360.8634814532577
4.2,10.0,2.53,-300.9898277071936
5.0,9.7,2.72,-304.7156105832971
10.2,10.3,2.25,-337.5029908497078
7.6,10.0,2.53,-324.66763866627684
12.5,10.1,2.53,-360.3914715880866
10.6,10.2,1.24,-267.10083295119176
3.4,10.3,1.24,-255.56560163533518
5.3,10.2,2.53,-314.88170545597245
6.8,10.3,1.24,-261.56922632195426
11.7,10.4,1.24,-276.0970541607768
8.7,10.2,2.53,-338.2837721670253
3.0,10.4,2.25,-295.24384902930746
6.4,10.4,2.25,-315.9134680875825
4.5,10.5,1.24,-262.35939528946665
7.9,10.5,1.24,-268.92574564874525
11.3,10.5,2.25,-349.3026849671656
4.1,10.6,2.25,-307.6040042581323
13.7,9.7,2.72,-369.7037800998983
7.5,10.6,2.25,-328.64258576535786
13.6,10.3,2.53,-376.4222669729179
9.8,10.4,2.53,-351.2060736037624
12.8,10.6,1.24,-284.14027776854317
2.6,10.5,2.53,-306.24829639558044
10.9,10.6,2.53,-362.97432459556336
12.4,10.7,2.25,-361.7882139919405
5.6,10.7,1.24,-269.5873334414697
5.2,10.8,2.25,-320.3512933631867
9.0,10.7,1.24,-276.4551002924555
8.6,10.8,2.25,-341.23055842012474
3.7,10.7,2.53,-319.5477708282047
13.9,10.8,1.24,-291.85134622027977
12.0,10.8,2.53,-375.42136140200756
9.9,9.8,2.72,-343.570692595941
2.7,9.9,2.72,-294.5816252041187
6.7,10.9,1.24,-276.98795354091084
4.8,10.9,2.53,-332.88109278141457
10.1,10.9,1.24,-285.1593646681869
8.2,10.9,2.53,-354.7215060336223
2.9,11.0,1.24,-272.9579156408719
13.5,10.9,2.25,-377.01727728072126
13.1,11.0,2.53,-386.93166427892345
5.9,11.1,2.53,-345.68992380967524
7.8,11.1,1.24,-284.11558911814427
11.2,11.1,1.24,-292.04322163524023
6.3,11.0,2.25,-332.7345139054963
6.1,9.9,2.72,-319.4899821947575
9.7,11.0,2.25,-353.46154916122566
4.0,11.2,1.24,-279.64140859113985
9.3,11.1,2.53,-366.64343786039484
2.1,11.2,2.53,-324.8776659975858
12.3,11.3,1.24,-299.9224026761543
5.1,11.4,1.24,-286.7105378227792
13.4,11.5,1.24,-308.4350071656026
2.5,11.1,2.25,-313.6804533514795
6.2,11.6,1.24,-293.8386079381786
2.4,11.7,1.24,-290.1535063049066
7.0,11.3,2.53,-358.212362649947
7.4,11.2,2.25,-344.87964603290953
10.4,11.3,2.53,-378.43552448957973
7.3,11.8,1.24,-302.28455258206566
11.0,10.0,2.72,-355.8026571149375
3.8,10.1,2.72,-308.69963775099006
3.2,11.4,2.53,-337.9262008303424
10.8,11.2,2.25,-364.91392220662084
3.6,11.3,2.25,-325.74187189323567
10.7,11.8,1.24,-308.7016431590437
8.5,11.4,2.25,-357.1927960264013
7.2,10.1,2.72,-333.11276624689935
3.5,11.9,1.24,-296.83155327582506
8.4,12.0,1.24,-309.7163832897003
11.8,12.0,1.24,-317.39144937455296
12.1,10.2,2.72,-369.0128674688084
4.6,12.1,1.24,-303.8284751435692
8.1,11.5,2.53,-370.8383106550614
11.5,11.5,2.53,-391.50181364373725
4.9,10.3,2.72,-323.14732850265375
11.9,11.4,2.25,-376.72179397806315
4.7,11.5,2.25,-337.7699104436891
8.3,10.3,2.72,-345.51776626480944
9.6,11.6,2.25,-368.79824754336215
9.5,12.2,1.24,-316.81583764054903
13.2,10.4,2.72,-380.16191511183706
6.0,10.5,2.72,-336.8287093612293
9.4,10.5,2.72,-359.026954649468
13.0,11.6,2.25,-387.80415644192846
5.8,11.7,2.25,-349.5143680007279
2.2,10.6,2.72,-313.6045723765708
7.1,10.7,2.72,-349.74294413981835
10.5,10.7,2.72,-371.08410869111617
4.3,11.6,2.53,-350.4429542090856
12.9,12.2,1.24,-325.00381367424234
2.0,11.8,2.25,-332.2300273780005
3.3,10.8,2.72,-327.2911643819972
6.9,11.9,2.25,-361.2983585443053
11.6,10.9,2.72,-384.3810303378846
5.7,12.3,1.24,-311.11189613728243
4.4,11.0,2.72,-341.1893283866745
10.6,12.4,1.24,-323.61342773833326
12.7,11.1,2.72,-396.3711003739819
9.2,11.7,2.53,-382.2908482210388
14.0,12.4,1.24,-332.3685614907931
12.6,11.7,2.53,-404.570512236499
5.5,11.2,2.72,-354.1395895394958
8.9,11.2,2.72,-375.4572871600644
5.4,11.8,2.53,-362.929915135799
6.8,12.5,1.24,-318.7676653786437
10.3,11.9,2.53,-394.12044583627505
3.0,12.6,1.24,-313.7476650086557
3.1,12.0,2.25,-343.7836995339938
13.8,11.3,2.72,-415.2519276407582
8.0,12.1,2.25,-373.67439602865375
11.7,12.6,1.24,-332.1646373406714
6.6,11.4,2.72,-366.5981541258771
13.7,11.9,2.53,-423.03452086172
10.0,11.4,2.72,-387.2817065948889
7.9,12.7,1.24,-326.3836534832751
6.5,12.0,2.53,-374.8149491351533
4.2,12.2,2.25,-355.2246310437766
2.7,12.1,2.53,-355.8335491294841
4.1,12.8,1.24,-320.78211763102865
2.8,11.5,2.72,-346.05477516216104
11.4,12.1,2.53,-407.5024069289561
7.7,11.6,2.72,-378.78348867039193
