a,h,e,angle
5.3,4.4,1.5,58.65390014842773
13.9,6.4,1.9,-68.01301411792747
9.3,9.7,1.6,-127.21645952762016
4.9,18.4,1.5,3.1748225176940816
3.5,17.7,2.2,-20.889106692296732
8.5,8.5,1.5,-79.50291765548667
12.0,7.9,2.1,-121.44940283312674
12.1,16.8,2.2,-102.8084359720229
12.1,6.6,1.9,-60.431507083707984
4.4,5.2,2.0,28.769961258795483
8.5,4.8,2.2,25.320701029398865
12.5,18.1,2.7,162.1827162571646
3.4,8.8,2.1,-92.67658444314576
12.3,18.6,1.7,-92.93714599243292
12.9,5.6,2.2,-42.94182375755769
4.5,12.7,1.3,-176.74777464756747
2.8,13.7,2.6,91.48045713610388
7.6,11.5,1.8,175.0928636387924
12.1,11.7,2.1,126.92829419658
7.5,19.4,1.5,-42.458293477229205
6.8,12.5,1.6,162.24159105814027
7.9,14.1,2.5,43.4035067547325
3.5,3.1,2.2,94.74683499605848
3.5,17.0,1.8,28.57933173751416
12.5,10.8,2.7,116.7371574928026
9.2,14.6,2.5,4.939071442169933
5.1,12.8,2.4,116.3203533299191
12.5,5.0,2.1,-2.7992989954191363
2.6,9.1,1.4,-74.37812404676853
7.4,15.6,1.5,77.48008000892479
10.7,6.7,1.6,-34.99737680184705
5.9,14.8,1.5,106.20638857076015
6.6,16.6,1.3,69.70225938865565
8.2,12.4,1.9,139.94280770842846
12.8,5.5,1.4,13.164827541250556
11.4,4.8,2.1,14.188792940187543
2.7,17.2,2.6,-22.080111349821564
5.2,18.1,1.8,-16.747265774153508
6.3,19.0,2.3,-104.95114400586708
12.5,4.3,1.7,45.92362317196083
6.9,6.8,1.7,-26.771688956134437
4.8,5.8,2.1,5.059860403719762
9.1,19.6,1.9,-116.94221535456916
7.6,18.1,1.4,10.653274173167572
12.8,17.9,1.6,-55.05901683532667
13.3,9.1,2.5,172.6543395850097
11.8,20.0,2.2,164.87804987228353
10.5,17.3,2.3,-107.16059372445017
11.0,2.0,2.2,124.0202046527185
12.9,4.2,1.3,60.95820686046138
2.7,6.3,1.8,0.7252115290613634
5.9,6.0,2.1,-6.9745289488635125
2.0,11.1,1.6,-139.79389734658184
12.0,9.4,1.5,-123.10281442696235
8.0,5.5,2.3,-4.682040219767302
6.2,10.1,2.1,-151.93470354364882
4.6,12.8,2.1,134.03231072808393
8.3,19.8,2.7,167.79532429287298
5.4,6.0,1.7,5.2793306059502365
2.7,13.6,1.8,133.70980485215483
2.9,12.4,2.4,140.9443943311256
2.7,12.1,2.4,151.48634534335494
6.8,8.8,2.3,-123.51787206541395
3.4,14.6,2.7,53.59043240370633
7.2,17.5,1.3,42.03373378068847
12.8,19.3,2.5,140.56026792657116
6.1,8.5,1.9,-89.76358747568985
3.4,4.4,2.4,53.24759252005467
8.8,5.3,1.5,25.45697886922781
12.5,18.9,1.7,-105.3392278224935
6.0,17.1,2.1,-16.56535989616022
2.4,4.4,1.6,60.23947032427752
3.7,7.1,1.5,-20.16092577318728
2.8,13.0,2.1,136.5466780835837
10.9,12.8,2.2,90.291336079729
7.4,13.4,1.7,127.1282414807759
10.0,12.9,2.3,86.14244325593022
10.4,15.7,2.2,-28.77263803525152
8.8,10.4,1.7,-152.35645768617218
9.5,18.0,2.1,-93.47059377159395
12.6,8.1,1.7,-103.64335726712898
9.9,17.9,1.7,-40.49287610865345
12.6,2.2,2.6,114.78090619929937
7.5,15.7,2.3,0.7814870766740436
3.7,2.7,1.8,107.1357169466903
2.7,10.7,1.5,-125.72931870577592
10.6,8.7,2.2,-142.08469936142333
5.5,20.0,2.0,-100.18042395014784
10.0,17.3,2.0,-62.065501500855206
9.8,11.9,1.8,153.49675472442067
8.3,8.2,1.5,-69.12879130940993
10.6,11.6,2.5,115.23747721474496
7.9,18.5,2.2,-99.89270500595778
7.7,14.6,1.4,114.74016569848958
7.8,18.4,1.4,0.4118794090312764
13.3,12.1,1.3,178.12039681044448
6.5,2.5,2.4,110.25339189299054
3.3,14.5,1.9,99.11896823617155
4.8,8.7,2.4,-110.04797449596326
10.2,18.3,2.5,-155.19388858801577
12.2,4.6,1.3,49.05185354909098
13.7,6.8,2.3,-111.86179785579964
4.5,8.3,1.6,-62.79030513407069
11.2,8.2,1.4,-73.38020892267129
9.0,6.3,2.0,-32.10533413855764
6.7,7.2,2.2,-60.86718937356047
8.0,10.6,2.5,163.16820884897427
7.8,15.4,2.6,-18.91659437661365
9.8,10.4,2.4,163.14204540009135
11.0,3.5,1.6,79.63047596061583
