row,col,phase,phase_loss,weight,score,a,h,e
1.0,17.0,-454.0926009477289,0.009593135228897154,0.39852540000000003,0.009593135228897154,3.6,18.2,1.24
1.0,18.0,-405.2027068158213,0.004568574803727188,1.4201456499999998,0.004568574803727188,6.1,13.2,2.53
1.0,19.0,-350.3663499220065,0.0006544725247294991,1.5812320125,0.0006544725247294991,11.1,10.1,2.53
1.0,20.0,-289.7749560317807,0.0014269790463004028,0.9008323333333331,0.0014269790463004028,4.6,9.8,2.25
2.0,0.0,-343.9541141322697,0.0005924037540694371,1.717125,0.0005924037540694371,8.1,10.0,2.72
2.0,1.0,-405.2027068158204,0.004568574804579839,1.4201456499999998,0.004568574804579839,6.1,13.2,2.53
2.0,2.0,-460.6478157555921,0.007549234642283409,1.9241853749999998,0.007549234642283409,8.7,15.3,2.25
2.0,3.0,-510.0920254057937,0.003708236784405017,2.2797401166666664,0.003708236784405017,10.6,15.1,2.53
2.0,4.0,-553.3516735789453,0.004344487460912205,2.2008944999999995,0.004344487460912205,8.4,17.9,2.25
2.0,5.0,-590.2598822805403,0.013860395240953949,2.599065,0.013860395240953949,5.2,18.9,2.72
2.0,6.0,-620.6695029533685,0.02021096118096466,2.225132466666667,0.02021096118096466,6.8,19.6,2.53
2.0,7.0,-644.4558670957531,0.008366302684407856,3.75309375,0.008366302684407856,11.1,17.5,2.72
2.0,8.0,-661.5192308082542,0.007389987941678555,4.031635416666666,0.007389987941678555,12.1,17.5,2.72
2.0,9.0,-671.786806837069,0.003171190274770197,3.47787,0.003171190274770197,8.4,19.8,2.72
2.0,10.0,-675.2142905735918,0.061893508439425204,3.8037883333333338,0.061893508439425204,10.3,18.8,2.72
2.0,11.0,-671.786806837069,0.003171190274770197,3.47787,0.003171190274770197,8.4,19.8,2.72
2.0,12.0,-661.5192308082542,0.007389987941678555,4.031635416666666,0.007389987941678555,12.1,17.5,2.72
2.0,13.0,-644.4558670957531,0.008366302684407856,3.75309375,0.008366302684407856,11.1,17.5,2.72
2.0,14.0,-620.6695029533685,0.02021096118096466,2.225132466666667,0.02021096118096466,6.8,19.6,2.53
2.0,15.0,-590.2598822805403,0.013860395240953949,2.599065,0.013860395240953949,5.2,18.9,2.72
2.0,16.0,-553.3516735789462,0.004344487460002711,2.2008944999999995,0.004344487460002711,8.4,17.9,2.25
2.0,17.0,-510.09202540579554,0.0037082367825860274,2.2797401166666664,0.0037082367825860274,10.6,15.1,2.53
2.0,18.0,-460.647815755593,0.007549234641373914,1.9241853749999998,0.007549234641373914,8.7,15.3,2.25
2.0,19.0,-405.2027068158213,0.004568574803727188,1.4201456499999998,0.004568574803727188,6.1,13.2,2.53
2.0,20.0,-343.9541141322716,0.0005924037560021134,1.717125,0.0005924037560021134,8.1,10.0,2.72
3.0,0.0,-392.2460124323197,0.001139385444673735,1.3454925041666665,0.001139385444673735,5.9,12.7,2.53
3.0,1.0,-454.0926009477289,0.009593135228897154,0.39852540000000003,0.009593135228897154,3.6,18.2,1.24
3.0,2.0,-510.0920254057937,0.003708236784405017,2.2797401166666664,0.003708236784405017,10.6,15.1,2.53
3.0,3.0,-560.0413224904487,0.002073505645057594,3.3550833333333325,0.002073505645057594,11.5,15.2,2.72
3.0,4.0,-603.7514659892768,0.001341627910733223,1.9929069958333334,0.001341627910733223,5.3,19.7,2.53
3.0,5.0,-641.0505360951765,0.004395545448460325,2.591808333333333,0.004395545448460325,9.1,20.0,2.25
3.0,6.0,-671.7868068370681,0.0031711902756796917,3.47787,0.0031711902756796917,8.4,19.8,2.72
3.0,7.0,-695.8316356660871,0.02926750202459516,3.550689583333333,0.02926750202459516,14.0,18.5,2.53
3.0,8.0,-713.0820361350461,0.03302490457735985,3.5605458,0.03302490457735985,13.2,19.6,2.53
