a (Top Surface Length),h (Height),e,phase
7.8,3.8,1.24,-92.62741147591552
8.3,3.8,1.24,-92.86023411766696
11.2,3.8,1.24,-93.63755750545154
3.9,3.7,2.53,-94.04687140785146
5.2,3.5,2.25,-88.4407835576201
5.5,3.9,2.72,-102.64499713959772
4.0,3.9,1.24,-94.60393061498031
8.4,3.9,2.72,-109.215066149814
6.9,3.9,1.24,-95.33618551125906
10.3,3.9,1.24,-96.36025990531004
6.8,3.7,2.53,-97.5744156401274
8.9,3.9,2.72,-110.49461270295892
10.2,3.7,2.53,-104.2596550009607
8.6,3.5,2.25,-92.05885331990756
11.8,3.9,2.72,-120.40109375572425
13.1,3.7,2.53,-112.52634110221643
3.0,3.8,2.53,-95.56014927569429
5.9,3.8,2.53,-99.29636914289516
9.3,3.8,2.53,-105.719564735188
4.6,4.0,2.72,-104.14239113920542
11.5,3.5,2.25,-96.49920799322052
13.2,3.9,1.24,-97.34510504671772
4.3,3.6,2.25,-90.6130279612746
12.2,3.8,2.53,-113.80206572740084
3.1,4.0,1.24,-96.907733080714
7.5,4.0,2.72,-110.25036936805898
10.9,4.0,2.72,-121.1069179725498
7.2,3.6,2.25,-93.08231850018268
2.1,3.9,2.53,-97.82003229868096
13.8,4.0,2.72,-136.56260100582327
3.7,4.1,2.72,-105.87879968772712
7.7,3.6,2.25,-93.8522899630078
6.0,4.0,1.24,-96.88991923345615
9.4,4.0,1.24,-98.29962134631452
5.0,3.9,2.53,-100.72471849637884
10.6,3.6,2.25,-98.21928365040588
7.9,3.9,2.53,-105.89801435298608
13.5,3.6,2.25,-104.74270012333676
3.4,3.7,2.25,-92.51118025507516
12.3,4.0,1.24,-100.21754892182952
6.6,4.1,2.72,-111.75220803937032
10.0,4.1,2.72,-122.07069620196448
11.3,3.9,2.53,-115.0274543359485
4.1,4.0,2.53,-102.63895947986248
6.3,3.7,2.25,-94.83473893010098
12.9,4.1,2.72,-134.72453164410595
2.2,4.1,1.24,-98.75600687489305
7.0,4.0,2.53,-107.6027162293894
9.7,3.7,2.25,-99.90314899951176
2.8,4.2,2.72,-107.87817806129844
5.7,4.2,2.72,-112.90661784353613
12.6,3.7,2.25,-106.10578556231997
8.6,4.2,2.72,-120.81433354642228
5.1,4.1,1.24,-98.9693482289521
2.5,3.8,2.25,-94.54322068018128
5.4,3.8,2.25,-96.85875585015948
12.0,4.2,2.72,-134.80147803818352
4.8,4.3,2.72,-114.06516625937977
8.0,4.1,1.24,-100.23275466097648
10.4,4.0,2.53,-116.13387932187896
13.3,4.0,2.53,-127.23846202589765
3.2,4.1,2.53,-104.41918178770568
8.8,3.8,2.25,-101.71696288035888
7.7,4.3,2.72,-121.79446973885264
11.1,4.3,2.72,-135.20509381847754
11.7,3.8,2.25,-107.81590149251215
6.1,4.1,2.53,-108.77388662905284
4.5,3.9,2.25,-98.51238900587587
9.0,4.1,2.53,-115.82885374439893
11.4,4.1,1.24,-101.62486144901506
7.4,3.9,2.25,-102.6543888260162
4.2,4.2,1.24,-102.0729997090248
14.0,4.3,2.72,-154.81966141799572
3.9,4.4,2.72,-115.38367871674228
9.5,4.1,2.53,-117.02034237867235
10.8,3.9,2.25,-109.2340898406772
12.4,4.1,2.53,-127.55125634676992
13.7,3.9,2.25,-118.27868034386564
6.8,4.4,2.72,-122.54515543683571
9.7,4.4,2.72,-133.43773387158726
13.1,4.4,2.72,-152.2273241882254
3.0,4.5,2.72,-116.71054099650104
7.1,4.2,1.24,-102.90258620656806
10.5,4.2,1.24,-104.03636438145078
2.3,4.2,2.53,-106.10455764496491
13.4,4.2,1.24,-105.49351587878589
3.3,4.3,1.24,-104.33476475537364
5.2,4.2,2.53,-110.071773264483
8.1,4.2,2.53,-116.68018320474977
3.6,4.0,2.25,-100.77335891989802
6.5,4.0,2.25,-104.39866195729266
5.9,4.5,2.72,-123.17372230944322
9.9,4.0,2.25,-110.65246894876655
12.8,4.0,2.25,-118.78389932274068
8.8,4.5,2.72,-133.50732338171682
6.2,4.3,1.24,-105.11127686106468
12.2,4.5,2.72,-150.55308572533966
11.5,4.2,2.53,-128.22120062497956
2.7,4.1,2.25,-102.80603295327344
4.3,4.3,2.53,-111.94061516078366
2.1,4.6,2.72,-117.8796745948912
7.2,4.3,2.53,-118.02738185228
5.0,4.6,2.72,-124.01761984665748
10.6,4.3,2.53,-128.91213743035254
5.6,4.1,2.25,-105.93633902952163
8.5,4.1,2.25,-110.84600925416548
13.5,4.3,2.53,-144.67608110853467
3.4,4.4,2.53,-113.41672461482842
11.9,4.1,2.25,-119.86424816974456
